delivery_id,order_id,delivery_days,delivery_status,shipping_cost
DEL00001,ORD00001,6,Delivered,317
DEL00002,ORD00002,7,Delayed,98
DEL00003,ORD00003,2,Delayed,89
DEL00004,ORD00004,2,Delivered,57
DEL00005,ORD00005,9,Delivered,302
DEL00006,ORD00006,5,Delivered,87
DEL00007,ORD00007,9,Delayed,483
DEL00008,ORD00008,9,Delivered,438
DEL00009,ORD00009,6,Delivered,158
DEL00010,ORD00010,5,Delivered,132
DEL00011,ORD00011,5,Delivered,83
DEL00012,ORD00012,6,Delivered,161
DEL00013,ORD00013,4,Delivered,90
DEL00014,ORD00014,9,Delivered,155
DEL00015,ORD00015,5,Delivered,415
DEL00016,ORD00016,8,Delivered,165
DEL00017,ORD00017,5,Delivered,159
DEL00018,ORD00018,14,Delivered,283
DEL00019,ORD00019,5,Delayed,82
DEL00020,ORD00020,8,Delivered,248
DEL00021,ORD00021,10,Delivered,355
DEL00022,ORD00022,6,Delayed,392
DEL00023,ORD00023,5,Delayed,379
DEL00024,ORD00024,2,Delivered,184
DEL00025,ORD00025,12,Delayed,228
DEL00026,ORD00026,5,Delivered,308
DEL00027,ORD00027,12,Delivered,281
DEL00028,ORD00028,10,Delayed,265
DEL00029,ORD00029,12,Delayed,488
DEL00030,ORD00030,2,Delivered,53
DEL00031,ORD00031,5,Delivered,100
DEL00032,ORD00032,12,Delivered,329
DEL00033,ORD00033,2,Delivered,243
DEL00034,ORD00034,5,Delayed,225
DEL00035,ORD00035,7,Delivered,199
DEL00036,ORD00036,14,Delivered,251
DEL00037,ORD00037,8,Delivered,385
DEL00038,ORD00038,7,Delayed,300
DEL00039,ORD00039,9,Delivered,379
DEL00040,ORD00040,2,Delivered,249
DEL00041,ORD00041,2,Delivered,163
DEL00042,ORD00042,5,Delivered,82
DEL00043,ORD00043,6,Delayed,152
DEL00044,ORD00044,5,Delivered,132
DEL00045,ORD00045,2,Delivered,170
DEL00046,ORD00046,8,Delayed,249
DEL00047,ORD00047,12,Delayed,272
DEL00048,ORD00048,13,Delivered,453
DEL00049,ORD00049,10,Delivered,346
DEL00050,ORD00050,5,Delayed,459
DEL00051,ORD00051,8,Delivered,140
DEL00052,ORD00052,10,Delayed,428
DEL00053,ORD00053,10,Delivered,381
DEL00054,ORD00054,5,Delivered,221
DEL00055,ORD00055,7,Delayed,79
DEL00056,ORD00056,12,Delivered,392
DEL00057,ORD00057,5,Delivered,450
DEL00058,ORD00058,9,Delayed,313
DEL00059,ORD00059,13,Delayed,291
DEL00060,ORD00060,14,Delivered,429
DEL00061,ORD00061,13,Delayed,162
DEL00062,ORD00062,5,Delivered,150
DEL00063,ORD00063,8,Delivered,413
DEL00064,ORD00064,6,Delivered,152
DEL00065,ORD00065,5,Delivered,487
DEL00066,ORD00066,2,Delivered,88
DEL00067,ORD00067,14,Delivered,323
DEL00068,ORD00068,4,Delivered,227
DEL00069,ORD00069,3,Delivered,102
DEL00070,ORD00070,11,Delivered,217
DEL00071,ORD00071,14,Delivered,389
DEL00072,ORD00072,13,Delayed,409
DEL00073,ORD00073,5,Delivered,60
DEL00074,ORD00074,6,Delayed,173
DEL00075,ORD00075,14,Delivered,236
DEL00076,ORD00076,14,Delivered,464
DEL00077,ORD00077,8,Delivered,190
DEL00078,ORD00078,11,Delivered,343
DEL00079,ORD00079,13,Delivered,291
DEL00080,ORD00080,2,Delivered,137
DEL00081,ORD00081,3,Delivered,97
DEL00082,ORD00082,14,Delivered,485
DEL00083,ORD00083,12,Delayed,500
DEL00084,ORD00084,7,Delivered,159
DEL00085,ORD00085,5,Delivered,223
DEL00086,ORD00086,4,Delivered,143
DEL00087,ORD00087,12,Delayed,179
DEL00088,ORD00088,8,Delivered,190
DEL00089,ORD00089,9,Delayed,349
DEL00090,ORD00090,6,Delivered,136
DEL00091,ORD00091,4,Delayed,157
