order_id,product_id,customer_id,quantity,sales_amount,shipping_cost,rating
ORD02434,PROD0122,CUST1537,3,7511,290,4
ORD03134,PROD0289,CUST0045,4,11427,298,5
ORD03303,PROD0279,CUST0019,4,5732,91,4
ORD07911,PROD0319,CUST1225,4,7483,142,4
ORD00631,PROD0236,CUST0855,1,10475,405,5
ORD01825,PROD0256,CUST1599,4,2731,136,5
ORD06554,PROD0036,CUST1171,3,9229,57,2
ORD02987,PROD0305,CUST0328,3,5475,178,1
ORD05324,PROD0383,CUST2141,3,6764,220,1
ORD04445,PROD0293,CUST0736,3,9681,203,1
ORD06579,PROD0018,CUST0548,2,9310,164,3
ORD01050,PROD0042,CUST1998,2,10221,169,3
ORD03103,PROD0213,CUST0994,3,8873,374,4
ORD06418,PROD0494,CUST0137,1,6236,325,3
ORD03750,PROD0173,CUST0430,4,597,388,3
ORD01318,PROD0225,CUST0658,4,6637,360,2
ORD08866,PROD0345,CUST1077,4,1572,500,1
ORD04112,PROD0229,CUST2424,3,7005,152,1
ORD06912,PROD0172,CUST0206,4,2203,442,2
ORD05244,PROD0100,CUST1937,4,6400,221,5
ORD06978,PROD0365,CUST1718,4,9328,311,1
ORD01279,PROD0054,CUST2353,1,10721,257,3
ORD07779,PROD0100,CUST0741,4,5183,379,3
ORD08338,PROD0392,CUST1323,1,8277,377,4
ORD07816,PROD0473,CUST1893,3,5710,286,3
ORD05602,PROD0378,CUST1390,1,7001,70,5
ORD06787,PROD0146,CUST0949,2,5612,326,3
ORD05050,PROD0043,CUST0291,2,8141,411,3
ORD07747,PROD0233,CUST0210,3,7476,236,2
ORD02652,PROD0200,CUST1643,1,11025,226,4
ORD02061,PROD0231,CUST2408,1,9344,79,3
ORD05337,PROD0131,CUST1631,2,934,73,5
ORD06703,PROD0021,CUST1638,2,2170,266,3
ORD03293,PROD0442,CUST0659,4,10897,208,5
ORD08827,PROD0108,CUST2111,2,8443,221,3
ORD04316,PROD0298,CUST1020,2,4184,166,1
ORD08376,PROD0167,CUST2368,2,6359,485,3
ORD00131,PROD0482,CUST1614,2,8719,460,2
ORD04239,PROD0256,CUST1837,4,7623,214,2
ORD00352,PROD0078,CUST2200,1,1072,340,1
ORD03363,PROD0459,CUST0688,1,501,70,1
ORD07644,PROD0288,CUST0054,4,7040,259,1
ORD09509,PROD0458,CUST0285,4,4707,207,5
ORD06783,PROD0177,CUST0015,4,2853,303,4
ORD02652,PROD0182,CUST0256,2,10476,440,3
ORD01908,PROD0186,CUST0825,1,3025,118,5
ORD09593,PROD0457,CUST0641,3,3822,283,3
ORD06474,PROD0382,CUST1616,4,1696,353,4
ORD02234,PROD0311,CUST0778,1,6659,135,3
ORD00794,PROD0392,CUST1944,2,9192,62,1
ORD04812,PROD0158,CUST1624,1,2393,274,4
ORD09161,PROD0467,CUST1538,1,9334,163,3
ORD05300,PROD0005,CUST1867,3,9912,109,4
ORD03648,PROD0060,CUST1307,2,2059,117,2
ORD06182,PROD0089,CUST0423,2,4968,356,4
ORD03626,PROD0232,CUST1428,4,5197,86,1
ORD04591,PROD0288,CUST1673,1,5385,104,4
ORD09171,PROD0096,CUST0777,4,9154,400,5
ORD02141,PROD0228,CUST2168,4,11542,496,2
ORD04750,PROD0357,CUST1693,4,1026,131,5
ORD00276,PROD0035,CUST0579,2,6395,237,3
ORD01327,PROD0135,CUST2426,1,11275,357,5
ORD05520,PROD0296,CUST1497,3,2616,214,2
ORD06352,PROD0187,CUST1113,2,623,92,5
ORD04751,PROD0497,CUST1050,4,1451,222,5
ORD09300,PROD0052,CUST1065,3,11607,389,5
ORD00075,PROD0071,CUST0154,3,2921,444,1
ORD00027,PROD0324,CUST1852,2,8763,329,4
ORD00364,PROD0435,CUST1180,1,4545,478,4
ORD00101,PROD0018,CUST1173,2,1592,122,1
ORD07726,PROD0182,CUST0591,4,9369,298,5
ORD04660,PROD0283,CUST1768,1,1162,80,5
ORD05426,PROD0363,CUST1776,3,5408,139,3
ORD00904,PROD0488,CUST1320,4,2829,143,2
ORD07537,PROD0046,CUST0073,3,5140,462,1
ORD09840,PROD0375,CUST0589,3,6771,304,2
ORD09395,PROD0428,CUST0135,2,11935,494,4
ORD04116,PROD0348,CUST2115,4,650,476,4
ORD05480,PROD0389,CUST2149,4,2821,416,2
ORD05469,PROD0043,CUST1893,2,9700,373,5
ORD04984,PROD0238,CUST1979,3,10914,121,1
ORD03202,PROD0358,CUST0030,1,1152,206,5
ORD04075,PROD0450,CUST0697,4,6901,116,4
ORD02583,PROD0236,CUST1258,3,6117,159,5
ORD06467,PROD0391,CUST0661,2,9650,169,2
ORD03412,PROD0156,CUST2169,2,6026,79,4
ORD03800,PROD0439,CUST0012,2,7962,170,2
ORD06948,PROD0248,CUST1489,1,4760,260,3
ORD09867,PROD0168,CUST1209,1,4579,321,1
ORD01011,PROD0109,CUST2396,1,9370,211,2
ORD01982,PROD0355,CUST0081,4,2222,482,1
ORD00588,PROD0187,CUST0178,3,4930,160,2
ORD04165,PROD0022,CUST2376,1,10017,350,2
ORD08668,PROD0473,CUST1970,4,11917,60,1
ORD06428,PROD0192,CUST1341,4,8754,199,5
ORD03033,PROD0435,CUST1903,3,3047,133,3
