order_item_id,order_id,product_id,seller_id,quantity
ITEM00001,ORD03486,PROD0423,SELL0244,2
ITEM00002,ORD09563,PROD0050,SELL0158,4
ITEM00003,ORD04368,PROD0116,SELL0237,2
ITEM00004,ORD09289,PROD0432,SELL0022,2
ITEM00005,ORD05335,PROD0446,SELL0079,1
ITEM00006,ORD09282,PROD0375,SELL0199,1
ITEM00007,ORD09708,PROD0064,SELL0014,2
ITEM00008,ORD07465,PROD0217,SELL0140,4
ITEM00009,ORD01168,PROD0466,SELL0158,2
ITEM00010,ORD04116,PROD0346,SELL0117,2
ITEM00011,ORD01322,PROD0052,SELL0039,1
ITEM00012,ORD02143,PROD0224,SELL0214,2
ITEM00013,ORD03843,PROD0249,SELL0231,2
ITEM00014,ORD09048,PROD0056,SELL0113,2
ITEM00015,ORD00122,PROD0314,SELL0276,2
ITEM00016,ORD01602,PROD0135,SELL0190,2
ITEM00017,ORD04095,PROD0252,SELL0274,1
ITEM00018,ORD03397,PROD0159,SELL0198,2
ITEM00019,ORD03213,PROD0378,SELL0093,4
ITEM00020,ORD04330,PROD0325,SELL0079,3
ITEM00021,ORD06830,PROD0164,SELL0207,4
ITEM00022,ORD06782,PROD0390,SELL0273,1
ITEM00023,ORD05467,PROD0472,SELL0284,1
ITEM00024,ORD00515,PROD0026,SELL0185,3
ITEM00025,ORD03527,PROD0279,SELL0060,3
ITEM00026,ORD07687,PROD0427,SELL0191,1
ITEM00027,ORD01517,PROD0437,SELL0161,3
ITEM00028,ORD03619,PROD0351,SELL0279,3
ITEM00029,ORD07440,PROD0277,SELL0055,1
ITEM00030,ORD07879,PROD0233,SELL0141,1
ITEM00031,ORD04622,PROD0451,SELL0272,1
ITEM00032,ORD05695,PROD0343,SELL0059,3
ITEM00033,ORD04442,PROD0219,SELL0209,1
ITEM00034,ORD09776,PROD0337,SELL0175,3
ITEM00035,ORD01811,PROD0233,SELL0048,1
ITEM00036,ORD00062,PROD0445,SELL0209,3
ITEM00037,ORD06800,PROD0432,SELL0073,4
ITEM00038,ORD06405,PROD0220,SELL0275,3
ITEM00039,ORD04760,PROD0439,SELL0161,3
ITEM00040,ORD03850,PROD0398,SELL0205,2
ITEM00041,ORD08154,PROD0477,SELL0255,4
ITEM00042,ORD07104,PROD0185,SELL0181,1
ITEM00043,ORD02764,PROD0340,SELL0118,3
ITEM00044,ORD04614,PROD0473,SELL0068,2
ITEM00045,ORD09193,PROD0053,SELL0220,2
ITEM00046,ORD03024,PROD0196,SELL0220,3
ITEM00047,ORD08362,PROD0434,SELL0159,1
ITEM00048,ORD08627,PROD0332,SELL0201,1
ITEM00049,ORD05113,PROD0198,SELL0083,2
ITEM00050,ORD06618,PROD0112,SELL0172,1
ITEM00051,ORD06129,PROD0385,SELL0106,2
ITEM00052,ORD01421,PROD0338,SELL0185,1
ITEM00053,ORD03272,PROD0040,SELL0101,3
ITEM00054,ORD07062,PROD0059,SELL0056,4
ITEM00055,ORD00079,PROD0084,SELL0249,3
ITEM00056,ORD07780,PROD0097,SELL0153,3
ITEM00057,ORD07476,PROD0426,SELL0296,2
ITEM00058,ORD07301,PROD0088,SELL0090,2
ITEM00059,ORD01807,PROD0248,SELL0195,1
