order_id,customer_id,order_date,order_status,city,state,country
ORD00001,CUST0572,2024-01-09,Delivered,Calicut,Kerala,India
ORD00002,CUST0131,2024-11-03,Delivered,Calicut,Kerala,India
ORD00003,CUST0109,2022-02-08,Delivered,Calicut,Kerala,India
ORD00004,CUST1719,2024-04-21,Shipped,Chennai,Tamil Nadu,India
ORD00005,CUST0027,2024-08-09,Shipped,Kochi,Kerala,India
ORD00006,CUST1379,2023-12-05,Delivered,Kochi,Kerala,India
ORD00007,CUST1409,2023-02-04,Delivered,Calicut,Kerala,India
ORD00008,CUST0512,2022-05-24,Delivered,Chennai,Tamil Nadu,India
ORD00009,CUST1482,2024-02-10,Shipped,Mumbai,Maharashtra,India
ORD00010,CUST0934,2024-04-03,Delivered,Chennai,Tamil Nadu,India
ORD00011,CUST1139,2022-02-28,Delivered,Bangalore,Karnataka,India
ORD00012,CUST1094,2022-11-12,Delivered,Mumbai,Maharashtra,India
ORD00013,CUST1894,2024-10-24,Delivered,Calicut,Kerala,India
ORD00014,CUST1329,2024-05-23,Delivered,Mumbai,Maharashtra,India
ORD00015,CUST1097,2022-04-26,Delivered,Calicut,Kerala,India
ORD00016,CUST2045,2024-04-23,Delivered,Calicut,Kerala,India
ORD00017,CUST2300,2023-11-05,Delivered,Mumbai,Maharashtra,India
ORD00018,CUST2391,2024-05-19,Delivered,Chennai,Tamil Nadu,India
ORD00019,CUST0373,2022-06-05,Delivered,Mumbai,Maharashtra,India
ORD00020,CUST1730,2022-02-21,Delivered,Calicut,Kerala,India
ORD00021,CUST1918,2023-02-13,Delivered,Chennai,Tamil Nadu,India
ORD00022,CUST0470,2024-05-28,Returned,Chennai,Tamil Nadu,India
ORD00023,CUST1781,2024-05-11,Delivered,Chennai,Tamil Nadu,India
ORD00024,CUST1079,2022-08-24,Cancelled,Kochi,Kerala,India
ORD00025,CUST1223,2024-03-04,Cancelled,Chennai,Tamil Nadu,India
ORD00026,CUST2173,2022-11-18,Returned,Chennai,Tamil Nadu,India
ORD00027,CUST1260,2022-10-12,Cancelled,Calicut,Kerala,India
ORD00028,CUST0351,2022-01-19,Returned,Kochi,Kerala,India
ORD00029,CUST1947,2024-02-25,Delivered,Mumbai,Maharashtra,India
ORD00030,CUST1734,2023-03-17,Cancelled,Chennai,Tamil Nadu,India
ORD00031,CUST1277,2024-09-23,Delivered,Kochi,Kerala,India
ORD00032,CUST1016,2023-11-17,Delivered,Mumbai,Maharashtra,India
ORD00033,CUST0943,2023-02-01,Delivered,Kochi,Kerala,India
ORD00034,CUST0242,2022-04-03,Shipped,Chennai,Tamil Nadu,India
ORD00035,CUST2106,2022-02-28,Delivered,Kochi,Kerala,India
ORD00036,CUST0542,2024-05-16,Delivered,Kochi,Kerala,India
ORD00037,CUST0387,2023-10-26,Delivered,Chennai,Tamil Nadu,India
ORD00038,CUST0222,2023-11-14,Delivered,Calicut,Kerala,India
ORD00039,CUST0448,2023-01-24,Delivered,Calicut,Kerala,India
ORD00040,CUST1729,2022-04-18,Delivered,Kochi,Kerala,India
ORD00041,CUST0309,2023-05-08,Cancelled,Kochi,Kerala,India
ORD00042,CUST2215,2022-09-02,Delivered,Mumbai,Maharashtra,India
ORD00043,CUST1972,2022-02-06,Delivered,Calicut,Kerala,India
ORD00044,CUST1600,2022-07-06,Delivered,Kochi,Kerala,India
ORD00045,CUST2277,2023-08-14,Delivered,Bangalore,Karnataka,India
ORD00046,CUST0240,2022-03-10,Delivered,Mumbai,Maharashtra,India
ORD00047,CUST2393,2024-12-11,Delivered,Chennai,Tamil Nadu,India
ORD00048,CUST2081,2024-09-06,Delivered,Mumbai,Maharashtra,India
ORD00049,CUST0964,2022-03-20,Delivered,Calicut,Kerala,India
ORD00050,CUST0163,2024-02-08,Delivered,Mumbai,Maharashtra,India
ORD00051,CUST2142,2023-02-22,Delivered,Chennai,Tamil Nadu,India
ORD00052,CUST0978,2022-05-22,Shipped,Bangalore,Karnataka,India
ORD00053,CUST1873,2022-07-22,Delivered,Bangalore,Karnataka,India
ORD00054,CUST2307,2022-02-15,Delivered,Bangalore,Karnataka,India
ORD00055,CUST0543,2024-02-07,Delivered,Calicut,Kerala,India
ORD00056,CUST1795,2022-02-12,Delivered,Bangalore,Karnataka,India
ORD00057,CUST2272,2024-12-01,Delivered,Chennai,Tamil Nadu,India
ORD00058,CUST2267,2023-10-04,Cancelled,Bangalore,Karnataka,India
ORD00059,CUST1405,2023-05-20,Delivered,Kochi,Kerala,India
ORD00060,CUST0209,2023-11-17,Delivered,Kochi,Kerala,India
ORD00061,CUST0536,2023-11-02,Delivered,Calicut,Kerala,India
ORD00062,CUST1752,2024-03-15,Delivered,Bangalore,Karnataka,India
ORD00063,CUST0611,2022-01-03,Returned,Chennai,Tamil Nadu,India
ORD00064,CUST1761,2023-01-19,Delivered,Chennai,Tamil Nadu,India
ORD00065,CUST0164,2023-01-12,Cancelled,Kochi,Kerala,India
ORD00066,CUST1449,2024-04-08,Delivered,Bangalore,Karnataka,India
