payment_id,order_id,payment_type,payment_value
PAY00001,ORD00001,Wallet,6475
PAY00002,ORD00002,Card,2789
PAY00003,ORD00003,UPI,5876
PAY00004,ORD00004,COD,10318
PAY00005,ORD00005,Wallet,11478
PAY00006,ORD00006,Wallet,5623
PAY00007,ORD00007,Wallet,3152
PAY00008,ORD00008,COD,4095
PAY00009,ORD00009,UPI,6185
PAY00010,ORD00010,UPI,7234
PAY00011,ORD00011,Card,10813
PAY00012,ORD00012,UPI,8789
PAY00013,ORD00013,UPI,10945
PAY00014,ORD00014,Card,3417
PAY00015,ORD00015,UPI,6338
PAY00016,ORD00016,Wallet,8011
PAY00017,ORD00017,Card,7572
PAY00018,ORD00018,COD,7525
PAY00019,ORD00019,COD,9814
PAY00020,ORD00020,COD,7093
PAY00021,ORD00021,UPI,6088
PAY00022,ORD00022,UPI,2715
PAY00023,ORD00023,COD,9778
PAY00024,ORD00024,COD,2756
PAY00025,ORD00025,Card,4659
PAY00026,ORD00026,COD,3766
PAY00027,ORD00027,Wallet,9605
PAY00028,ORD00028,Wallet,10433
PAY00029,ORD00029,Card,2872
PAY00030,ORD00030,UPI,1464
PAY00031,ORD00031,Wallet,6248
PAY00032,ORD00032,COD,5784
PAY00033,ORD00033,COD,6864
PAY00034,ORD00034,UPI,2393
PAY00035,ORD00035,COD,9227
PAY00036,ORD00036,Card,10296
PAY00037,ORD00037,Card,7421
PAY00038,ORD00038,Wallet,1844
PAY00039,ORD00039,Wallet,6163
PAY00040,ORD00040,UPI,10124
PAY00041,ORD00041,COD,5940
PAY00042,ORD00042,COD,11359
PAY00043,ORD00043,UPI,7207
PAY00044,ORD00044,UPI,8153
PAY00045,ORD00045,Card,3689
PAY00046,ORD00046,UPI,4596
PAY00047,ORD00047,UPI,4837
PAY00048,ORD00048,UPI,5913
PAY00049,ORD00049,Card,6230
PAY00050,ORD00050,Wallet,9006
PAY00051,ORD00051,UPI,3577
PAY00052,ORD00052,COD,1213
PAY00053,ORD00053,Card,7521
PAY00054,ORD00054,Card,1427
PAY00055,ORD00055,UPI,6067
PAY00056,ORD00056,Card,1325
PAY00057,ORD00057,Card,6149
PAY00058,ORD00058,COD,5281
PAY00059,ORD00059,Wallet,1570
PAY00060,ORD00060,UPI,5173
PAY00061,ORD00061,COD,10196
PAY00062,ORD00062,Wallet,11643
PAY00063,ORD00063,UPI,8299
PAY00064,ORD00064,UPI,5420
PAY00065,ORD00065,UPI,6613
PAY00066,ORD00066,UPI,4686
PAY00067,ORD00067,COD,6259
PAY00068,ORD00068,COD,2649
PAY00069,ORD00069,UPI,2098
PAY00070,ORD00070,COD,2929
PAY00071,ORD00071,Wallet,3854
PAY00072,ORD00072,Wallet,10694
PAY00073,ORD00073,COD,10646
PAY00074,ORD00074,UPI,3675
PAY00075,ORD00075,Wallet,6759
PAY00076,ORD00076,Wallet,2293
PAY00077,ORD00077,UPI,7375
PAY00078,ORD00078,COD,561
PAY00079,ORD00079,COD,8602
PAY00080,ORD00080,Wallet,969
PAY00081,ORD00081,Card,2292
PAY00082,ORD00082,UPI,6627
PAY00083,ORD00083,Wallet,4490
PAY00084,ORD00084,Card,6432
PAY00085,ORD00085,UPI,8807
PAY00086,ORD00086,Wallet,9050
PAY00087,ORD00087,UPI,4810
PAY00088,ORD00088,Card,6684
PAY00089,ORD00089,COD,2811
PAY00090,ORD00090,COD,10105
PAY00091,ORD00091,COD,6855
PAY00092,ORD00092,Card,5393
PAY00093,ORD00093,Wallet,7986
PAY00094,ORD00094,Wallet,6673
PAY00095,ORD00095,Card,5851
PAY00096,ORD00096,COD,7321
PAY00097,ORD00097,Card,4598
PAY00098,ORD00098,COD,11145
PAY00099,ORD00099,Wallet,9167
PAY00100,ORD00100,Wallet,1463
PAY00101,ORD00101,Card,5935
PAY00102,ORD00102,Card,7198
PAY00103,ORD00103,Card,1690
PAY00104,ORD00104,Card,1430
PAY00105,ORD00105,Wallet,698
PAY00106,ORD00106,COD,9516
PAY00107,ORD00107,Wallet,4869
PAY00108,ORD00108,Card,8223
PAY00109,ORD00109,UPI,1270
PAY00110,ORD00110,UPI,4283
PAY00111,ORD00111,UPI,5746
PAY00112,ORD00112,Card,10536
PAY00113,ORD00113,UPI,2979
PAY00114,ORD00114,UPI,4768
PAY00115,ORD00115,UPI,9480
PAY00116,ORD00116,UPI,7130
PAY00117,ORD00117,Card,7853
PAY00118,ORD00118,COD,4121
PAY00119,ORD00119,UPI,6018
PAY00120,ORD00120,COD,10282
PAY00121,ORD00121,UPI,5511
PAY00122,ORD00122,Wallet,1845
PAY00123,ORD00123,Card,3127
PAY00124,ORD00124,Card,2447
PAY00125,ORD00125,UPI,4506
PAY00126,ORD00126,COD,2218
PAY00127,ORD00127,Card,5168
PAY00128,ORD00128,Card,1087
PAY00129,ORD00129,COD,4452
PAY00130,ORD00130,COD,1495
PAY00131,ORD00131,UPI,3013
PAY00132,ORD00132,COD,8644
PAY00133,ORD00133,COD,801
PAY00134,ORD00134,COD,10357
PAY00135,ORD00135,Wallet,1525
PAY00136,ORD00136,Wallet,2604
PAY00137,ORD00137,Card,4741
PAY00138,ORD00138,Card,1933
PAY00139,ORD00139,Wallet,4992
PAY00140,ORD00140,COD,9224
PAY00141,ORD00141,Card,11752
PAY00142,ORD00142,UPI,4887
PAY00143,ORD00143,UPI,1834
PAY00144,ORD00144,UPI,11291
PAY00145,ORD00145,COD,10538
PAY00146,ORD00146,Wallet,10260
PAY00147,ORD00147,UPI,11591
PAY00148,ORD00148,UPI,10941
PAY00149,ORD00149,COD,6242
PAY00150,ORD00150,Wallet,4172
PAY00151,ORD00151,Wallet,8184
PAY00152,ORD00152,Wallet,11821
PAY00153,ORD00153,COD,6820
PAY00154,ORD00154,Wallet,1673
PAY00155,ORD00155,Card,10482
PAY00156,ORD00156,COD,1337
PAY00157,ORD00157,UPI,4033
PAY00158,ORD00158,UPI,4192
PAY00159,ORD00159,Card,1974
PAY00160,ORD00160,UPI,8464
PAY00161,ORD00161,UPI,4188
PAY00162,ORD00162,Card,5124
PAY00163,ORD00163,COD,2691
PAY00164,ORD00164,COD,11839
PAY00165,ORD00165,UPI,2904
PAY00166,ORD00166,Card,5427
PAY00167,ORD00167,COD,4253
PAY00168,ORD00168,Wallet,9143
PAY00169,ORD00169,Wallet,1893
PAY00170,ORD00170,Wallet,9763
PAY00171,ORD00171,COD,10692
PAY00172,ORD00172,Card,5654
PAY00173,ORD00173,UPI,2885
PAY00174,ORD00174,Wallet,564
PAY00175,ORD00175,UPI,4786
PAY00176,ORD00176,COD,9104
PAY00177,ORD00177,COD,7676
PAY00178,ORD00178,Card,6256
PAY00179,ORD00179,Card,11727
PAY00180,ORD00180,COD,11921
PAY00181,ORD00181,COD,11738
PAY00182,ORD00182,COD,7561
PAY00183,ORD00183,COD,1542
PAY00184,ORD00184,COD,10787
