review_id,order_id,rating,review_text
REV00001,ORD04507,4,Excellent product and fast delivery
REV00002,ORD01680,3,Poor quality product
REV00003,ORD01425,5,Highly recommended
REV00004,ORD00489,4,Excellent product and fast delivery
REV00005,ORD08280,2,Poor quality product
REV00006,ORD03258,4,Highly recommended
REV00007,ORD06874,5,Highly recommended
REV00008,ORD04558,3,Not worth the money
REV00009,ORD02616,5,Excellent product and fast delivery
REV00010,ORD04553,5,Worth the price
REV00011,ORD01675,2,Bad experience
REV00012,ORD05882,2,"Delivery delayed, disappointed"
REV00013,ORD04334,5,Highly recommended
REV00014,ORD08786,5,Amazing quality
REV00015,ORD01292,2,Poor packaging
REV00016,ORD05926,4,Highly recommended
REV00017,ORD00751,4,Excellent product and fast delivery
REV00018,ORD01308,5,Worth the price
REV00019,ORD06228,5,Excellent product and fast delivery
REV00020,ORD02665,3,Bad experience
REV00021,ORD04375,4,Very satisfied with purchase
REV00022,ORD09981,5,Excellent product and fast delivery
REV00023,ORD04011,4,Highly recommended
REV00024,ORD04423,2,Poor packaging
REV00025,ORD03599,5,Highly recommended
REV00026,ORD03753,5,Excellent product and fast delivery
REV00027,ORD06573,5,Worth the price
REV00028,ORD09293,3,Poor quality product
REV00029,ORD03484,5,Worth the price
REV00030,ORD07518,5,Amazing quality
REV00031,ORD04041,2,Poor quality product
REV00032,ORD04305,5,Highly recommended
REV00033,ORD09561,5,Amazing quality
REV00034,ORD02267,4,Very satisfied with purchase
REV00035,ORD00772,4,Excellent product and fast delivery
REV00036,ORD02622,5,Very satisfied with purchase
REV00037,ORD09772,5,Amazing quality
REV00038,ORD09764,1,Poor packaging
REV00039,ORD04120,5,Highly recommended
REV00040,ORD01877,5,Excellent product and fast delivery
REV00041,ORD04372,5,Highly recommended
REV00042,ORD01828,5,Worth the price
REV00043,ORD07434,3,Poor quality product
REV00044,ORD08202,1,Bad experience
REV00045,ORD01744,5,Highly recommended
REV00046,ORD08318,5,Worth the price
REV00047,ORD06127,4,Very satisfied with purchase
REV00048,ORD08690,5,Highly recommended
REV00049,ORD05311,5,Highly recommended
REV00050,ORD05948,4,Excellent product and fast delivery
REV00051,ORD03924,5,Worth the price
REV00052,ORD01291,1,Not worth the money
REV00053,ORD01134,2,Poor packaging
REV00054,ORD02061,5,Highly recommended
REV00055,ORD09008,2,Poor packaging
REV00056,ORD09939,2,Not worth the money
REV00057,ORD08836,4,Very satisfied with purchase
REV00058,ORD05108,5,Very satisfied with purchase
REV00059,ORD07178,4,Worth the price
REV00060,ORD01983,5,Amazing quality
REV00061,ORD05540,3,"Delivery delayed, disappointed"
REV00062,ORD03771,1,Not worth the money
REV00063,ORD01164,4,Excellent product and fast delivery
REV00064,ORD03751,5,Excellent product and fast delivery
REV00065,ORD05414,1,"Delivery delayed, disappointed"
REV00066,ORD04563,1,Poor quality product
REV00067,ORD08835,5,Very satisfied with purchase
REV00068,ORD09441,2,Not worth the money
REV00069,ORD06670,4,Amazing quality
REV00070,ORD07063,3,"Delivery delayed, disappointed"
REV00071,ORD07652,4,Amazing quality
REV00072,ORD01613,5,Excellent product and fast delivery
REV00073,ORD01791,1,Bad experience
REV00074,ORD08787,3,Poor quality product
REV00075,ORD03007,4,Amazing quality
REV00076,ORD01236,3,Poor quality product
REV00077,ORD01605,4,Highly recommended
REV00078,ORD00242,1,Not worth the money
REV00079,ORD02725,5,Very satisfied with purchase
REV00080,ORD03503,4,Amazing quality
REV00081,ORD02698,5,Excellent product and fast delivery
REV00082,ORD04346,4,Amazing quality
REV00083,ORD04674,5,Amazing quality
REV00084,ORD07974,4,Highly recommended
REV00085,ORD03567,2,Bad experience
REV00086,ORD08884,5,Highly recommended
REV00087,ORD00937,1,Bad experience
REV00088,ORD08239,1,Poor packaging
REV00089,ORD02580,5,Highly recommended
REV00090,ORD01313,1,Not worth the money
REV00091,ORD09750,5,Excellent product and fast delivery
REV00092,ORD06616,1,Poor quality product
REV00093,ORD04034,2,Not worth the money
REV00094,ORD01344,4,Excellent product and fast delivery
REV00095,ORD09261,4,Highly recommended
REV00096,ORD03347,4,Worth the price
REV00097,ORD03911,5,Worth the price
REV00098,ORD04916,3,Poor quality product
REV00099,ORD00153,4,Excellent product and fast delivery
REV00100,ORD01639,4,Highly recommended
REV00101,ORD08289,1,Poor quality product
REV00102,ORD01128,3,Bad experience
REV00103,ORD04670,5,Worth the price
REV00104,ORD04957,2,Not worth the money
REV00105,ORD00129,4,Highly recommended
REV00106,ORD04906,5,Highly recommended
REV00107,ORD02201,5,Excellent product and fast delivery
REV00108,ORD09065,3,"Delivery delayed, disappointed"
REV00109,ORD09910,2,Bad experience
REV00110,ORD03336,3,Bad experience
REV00111,ORD08281,5,Worth the price
REV00112,ORD01513,4,Excellent product and fast delivery
REV00113,ORD00723,4,Worth the price
REV00114,ORD04292,1,Poor quality product
REV00115,ORD09039,2,Poor packaging
REV00116,ORD00159,5,Highly recommended
REV00117,ORD08939,2,Poor quality product
REV00118,ORD09544,1,Bad experience
REV00119,ORD02089,4,Amazing quality
REV00120,ORD00654,1,Bad experience
REV00121,ORD04089,5,Very satisfied with purchase
REV00122,ORD09174,5,Worth the price
REV00123,ORD02533,5,Amazing quality
REV00124,ORD02663,5,Very satisfied with purchase
REV00125,ORD06756,5,Very satisfied with purchase
REV00126,ORD06746,1,Bad experience
REV00127,ORD04372,5,Very satisfied with purchase
REV00128,ORD06268,2,"Delivery delayed, disappointed"
REV00129,ORD03645,5,Amazing quality
REV00130,ORD05729,3,Poor packaging
REV00131,ORD03653,3,Poor quality product
REV00132,ORD06529,1,Poor quality product
REV00133,ORD04574,3,"Delivery delayed, disappointed"
REV00134,ORD06549,4,Highly recommended
REV00135,ORD05426,5,Highly recommended
REV00136,ORD04280,5,Excellent product and fast delivery
REV00137,ORD00627,2,Bad experience
REV00138,ORD05664,2,Poor packaging
REV00139,ORD07150,5,Worth the price
REV00140,ORD01895,4,Highly recommended
REV00141,ORD03115,4,Highly recommended
REV00142,ORD00028,3,Poor packaging
REV00143,ORD03229,4,Highly recommended
REV00144,ORD05410,4,Excellent product and fast delivery
REV00145,ORD04921,4,Excellent product and fast delivery
REV00146,ORD05345,4,Amazing quality
REV00147,ORD09084,4,Worth the price
REV00148,ORD06212,2,Poor packaging
REV00149,ORD09325,5,Very satisfied with purchase
REV00150,ORD00007,3,Not worth the money
REV00151,ORD07044,3,Poor quality product
REV00152,ORD05280,5,Highly recommended
REV00153,ORD03502,4,Amazing quality
REV00154,ORD01390,4,Very satisfied with purchase
REV00155,ORD05492,3,Not worth the money
REV00156,ORD05086,2,Poor quality product
REV00157,ORD02415,3,Poor quality product
REV00158,ORD07785,1,Poor quality product
REV00159,ORD07462,4,Excellent product and fast delivery
REV00160,ORD03186,4,Highly recommended
REV00161,ORD08100,5,Amazing quality
REV00162,ORD00091,4,Very satisfied with purchase
REV00163,ORD06966,5,Excellent product and fast delivery
REV00164,ORD07612,3,Not worth the money
REV00165,ORD01989,1,Poor quality product
REV00166,ORD08703,4,Amazing quality
REV00167,ORD05199,5,Highly recommended
